id,phrase,meaning,category,level,example
1,read someone,read someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,중급,"I heard that and I was like, 'read someone'!"
2,we move,we move 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'we move'!"
3,cap,cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'cap'!"
4,throw shade,throw shade 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'throw shade'!"
5,read someone,read someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,공감,고급,"I heard that and I was like, 'read someone'!"
6,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'flex'!"
7,periodt,periodt 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'periodt'!"
8,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'flex'!"
9,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,중급,"I heard that and I was like, 'highkey'!"
10,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'highkey'!"
11,soft launch,soft launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'soft launch'!"
12,big yikes,big yikes 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,초급,"I heard that and I was like, 'big yikes'!"
13,simp,simp 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,초급,"I heard that and I was like, 'simp'!"
14,bail on someone,bail on someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'bail on someone'!"
15,drag someone,drag someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,초급,"I heard that and I was like, 'drag someone'!"
16,bet,bet 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,고급,"I heard that and I was like, 'bet'!"
17,get roasted,get roasted 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'get roasted'!"
18,sus,sus 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'sus'!"
19,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'highkey'!"
20,catch feels,catch feels 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,중급,"I heard that and I was like, 'catch feels'!"
21,receipts,receipts 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,고급,"I heard that and I was like, 'receipts'!"
22,we move,we move 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'we move'!"
23,snatched,snatched 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,중급,"I heard that and I was like, 'snatched'!"
24,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'hard launch'!"
25,no cap,no cap 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,고급,"I heard that and I was like, 'no cap'!"
26,stan,stan 는 미국에서 자주 쓰이는 실생활 표현입니다.,SNS,초급,"I heard that and I was like, 'stan'!"
27,ghost someone,ghost someone 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'ghost someone'!"
28,salty,salty 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,초급,"I heard that and I was like, 'salty'!"
29,savage,savage 는 미국에서 자주 쓰이는 실생활 표현입니다.,유행어,중급,"I heard that and I was like, 'savage'!"
30,flex,flex 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,고급,"I heard that and I was like, 'flex'!"
31,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,감정,중급,"I heard that and I was like, 'vibe check'!"
32,clap back,clap back 는 미국에서 자주 쓰이는 실생활 표현입니다.,밈,중급,"I heard that and I was like, 'clap back'!"
33,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'highkey'!"
34,throw shade,throw shade 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,고급,"I heard that and I was like, 'throw shade'!"
35,hard launch,hard launch 는 미국에서 자주 쓰이는 실생활 표현입니다.,친구,초급,"I heard that and I was like, 'hard launch'!"
36,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,인터넷,중급,"I heard that and I was like, 'vibe check'!"
37,slaps,slaps 는 미국에서 자주 쓰이는 실생활 표현입니다.,일상,초급,"I heard that and I was like, 'slaps'!"
38,highkey,highkey 는 미국에서 자주 쓰이는 실생활 표현입니다.,강조,중급,"I heard that and I was like, 'highkey'!"
39,vibe check,vibe check 는 미국에서 자주 쓰이는 실생활 표현입니다.,연애,중급,"I heard that and I was like, 'vibe check'!"
